Date,Price,Dividend,Earnings,CPI,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns
1875-11-01,4.37,0.3025,0.3683,11.03690579,1875.8749999999957,4.67,124.99526191932823,8.652418016154872,170.2959052706435,10.534497703635832,14.352398606676887,,,,1.0070676132096117,1.5348631899060345,0.11499503759337615,0.08539607874346267,0.02959895884991348
1875-12-01,4.37,0.3,0.36,10.9417405,1875.958333333329,4.63,126.08240252087867,8.655542507154143,172.7597523696503,10.386651008584971,14.231924680337325,,,,1.0070401373528144,1.5591547604140388,0.11035320886148159,0.081565062593568,0.028788146267913595
1876-01-01,4.46,0.3,0.3533,10.84657521,1876.0416666666622,4.59,129.80806501041175,8.731484193525453,178.86170316516262,10.28277788524181,14.168573930101337,,,,1.0047535252938302,1.5839073864861757,0.10953518207915147,0.08282497021690594,0.026710211862245536
1876-02-01,4.52,0.3,0.3467,10.84657521,1876.1249999999955,4.578333333333333,131.55436184911682,8.731484193525453,182.27050244073186,10.09068523298425,13.98079274252251,,,,1.0047443025681573,1.5914365303109221,0.10996621180831778,0.08250154311141644,0.02746466869690134
1876-03-01,4.51,0.3,0.34,10.84657521,1876.2083333333287,4.566666666666666,131.2633123759993,8.731484193525453,182.87538242670774,9.895682085995514,13.786614196248477,,,,1.0047350802178763,1.5989867867287357,0.10901821433350989,0.08347715093962482,0.025541063393885066
1876-04-01,4.34,0.3,0.3333,10.75149091,1876.291666666662,4.555000000000001,127.43258320812741,8.808703908395904,178.56111674726745,9.786470042227847,13.713000048816642,,,,1.0047258582433127,1.6207662356618915,0.11192838192299126,0.08351723085888385,0.02841115106410741
1876-05-01,4.18,0.3,0.3267,10.37091074,1876.3749999999952,4.543333333333333,127.23858618418699,9.131955946233516,179.35560765792195,9.944700025448297,14.018056703790213,,,,1.0047166366447913,1.6881839075548075,0.11241410249312933,0.08197173467791474,0.030442367815214588
1876-06-01,4.15,0.3,0.32,10.08541488,1876.4583333333285,4.531666666666666,129.90138388833444,9.390461485903694,184.21215612587142,10.016492251630606,14.20431083380213,,,,1.0047074154226387,1.7441606243682406,0.11623666750572337,0.07999981760301189,0.03623684990271148
1876-07-01,4.1,0.3,0.3133,10.08541488,1876.5416666666617,4.52,128.33630697401713,9.390461485903694,183.1024443419806,9.806771945112093,13.991706295693302,,,,1.0046981945771802,1.752371112990951,0.11759364095515035,0.07833082394635626,0.03926281700879408
1876-08-01,3.93,0.3,0.3067,10.18058017,1876.624999999995,4.508333333333334,121.86513433251616,9.302682010115738,174.97581022656044,9.510441908341654,13.655236894780172,,,,1.0046889741087426,1.7441464460155387,0.12251791865412542,0.07769518507067019,0.04482273358345523
1876-09-01,3.69,0.3,0.3,10.27574545,1876.7083333333283,4.496666666666667,113.36329959399689,9.216528422276168,163.8715161079048,9.216528422276168,13.322887488447542,,,,1.004679754017652,1.736096151378347,0.13319853175354202,0.07839142070578209,0.05480711104775993
1876-10-01,3.67,0.3,0.2933,10.46599504,1876.7916666666615,4.485,110.6993291676546,9.048991485094382,161.11069130017242,8.846897341927274,12.875685492735851,,,,1.004670534304236,1.7125144225562385,0.13835154000468086,0.0800663118999938,0.05828522810468706
1876-11-01,3.6,0.3,0.2867,10.56116033,1876.8749999999948,4.473333333333334,107.60942590481442,8.967452158734535,157.70127212070003,8.569895113030636,12.559154088056859,,,,1.004661314968821,1.705009455228019,0.14394905408238157,0.08074114453889969,0.06320790954348188
1876-12-01,3.58,0.3,0.28,10.75149091,1876.958333333328,4.461666666666667,105.11719997352444,8.808703908395904,155.12468356347492,8.221456981169512,12.13265681502039,,,,1.0046520960117353,1.6826330509190333,0.14180043980961998,0.08104437021333677,0.06075606959628321
1877-01-01,3.55,0.2908,0.2817,10.9417405,1877.0416666666613,4.45,102.42391966799069,8.390105870268082,152.1819217822841,8.127554414217741,12.0759570045266,,,,1.004442533161084,1.6610679219869882,0.14039429114462565,0.08003707003321958,0.06035722111140607
1877-02-01,3.34,0.2817,0.2833,10.65632562,1877.1249999999945,4.440833333333333,98.94604365514877,8.345239669956708,148.04776081186114,8.39263897230648,12.557464262874328,,,,1.0044352053538859,1.7131343139871542,0.14175117808280047,0.07563823739010123,0.06611294069269924
1877-03-01,3.17,0.2725,0.285,10.18058017,1877.2083333333278,4.431666666666667,98.29833990688962,8.449936159188463,148.13223534673156,8.83754790960995,13.317882357671449,,,,1.0044278777306086,1.8011434150689984,0.14471927044295496,0.07046624603850593,0.07425302440444903
1877-04-01,2.94,0.2633,0.2867,10.46599504,1877.291666666661,4.4225,88.68011655392495,7.941998193417835,134.63526176810404,8.647819529255198,13.129227737726337,,,,1.0044205502913774,1.7597827500645762,0.1587129035360284,0.07316083061404854,0.08555207292197986
1877-05-01,2.94,0.2542,0.2883,10.65632562,1877.3749999999943,4.413333333333333,87.0962180677058,7.530564160820004,133.18331700428772,8.540761792149517,13.06011914705311,,,,1.0044132230363174,1.7359918744254137,0.1623355705737941,0.07482890996850311,0.087506660605291
1877-06-01,2.73,0.245,0.29,10.08541488,1877.4583333333276,4.404166666666667,85.45319952172362,7.668876880154683,131.64813222699746,9.077446103040238,13.984600126677387,,,,1.0044058959655546,1.8423571486255097,0.16205707677969494,0.06992805582859263,0.09212902095110231
1877-07-01,2.85,0.2358,0.2917,10.18058017,1877.5416666666608,4.395,88.37547909609951,7.31190805995097,137.08887917393696,9.04530780783587,14.031167036855233,,,,1.0043985690792139,1.8331766521383228,0.1562933087378331,0.07195354761241424,0.08433976112541886
1877-08-01,3.05,0.2267,0.2933,9.8,1877.624999999994,4.385833333333333,98.25014795918369,7.302724112244899,153.3505634854859,9.448120785714288,14.746793531243611,,,,1.0043912423774213,1.9127440302159064,0.13955989189381057,0.06633936445065092,0.07322052744315966
1877-09-01,3.24,0.2175,0.295,9.704834711,1877.7083333333273,4.376666666666667,105.39410412015211,7.075067174732433,165.42121703932452,9.596068122050886,15.061499699568126,,,,1.004383915860302,1.939982021195476,0.1312746800604203,0.06631802870475378,0.06495665135566653
1877-10-01,3.31,0.2083,0.2967,9.704834711,1877.7916666666606,4.367500000000001,107.67113723385908,6.7757999655023715,169.88137809442543,9.651367497669485,15.227735613479163,,,,1.0043765895279828,1.9484867391468959,0.12353034304649113,0.06478631940556157,0.058744023640929566
1877-11-01,3.26,0.1992,0.2983,9.514585124,1877.8749999999939,4.358333333333333,108.16510931244261,6.6093526917296215,171.52976617664385,9.897439296902341,15.695499770089835,,,,1.0043692633805883,1.9961460925673595,0.12369224054914874,0.061170700598773164,0.06252153995037557
1877-12-01,3.25,0.19,0.3,9.514585124,1877.9583333333271,4.349166666666666,107.83331449860076,6.3041014629951215,171.83669571734845,9.953844415255455,15.86184883544755,,,,1.0043619374182455,2.0048677805919186,0.12068740905577835,0.05845543064635628,0.06223197840942207
1878-01-01,3.25,0.1892,0.3008,9.229089256,1878.0416666666604,4.34,111.16906788315931,6.4717500441519205,178.01176805949046,10.289124805924407,16.475673794552225,,,,1.0044217286102688,2.0759026922234454,0.11673997892457555,0.05378307635288948,0.06295690257168607
1878-02-01,3.18,0.1883,0.3017,9.134004959,1878.1249999999936,4.33,109.90699309954253,6.508014717183603,176.85926914741904,10.427339565450309,16.779384120055447,,,,1.0044137681563745,2.1067873132148214,0.118544600935931,0.053913136018938435,0.06463146491699256
1878-03-01,3.24,0.1875,0.3025,8.94367438,1878.208333333327,4.32,114.36377450047554,6.618273987296038,184.91849269064528,10.677482032837608,17.26476667867907,,,,1.0044058079432483,2.1611186719048097,0.10972463559295109,0.05171228411044737,0.05801235148250372
1878-04-01,3.33,0.1867,0.3033,8.848509091,1878.2916666666601,4.3100000000000005,118.80468892428924,6.660911538187627,192.99667142851317,10.820859504725803,17.57834547875917,,,,1.0043978479710691,2.1939852759131644,0.10714224225389724,0.05181882271441829,0.055323419539478946
