Date,Price,Dividend,Earnings,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns,ReturnVol,BondVol,SVAR,TBL,DFY,DFR,CPI,Real_10Y_Yield
1972-01-01,103.3,3.07,5.73667,1972.0416666665749,5.95,793.4470486618006,23.58066253041363,125215.9166826439,44.06334831216546,6953.750171885991,17.26299679703517,20.180821727051924,0.030409213945432376,0.995294667571563,12.09033733870252,-0.02671487359601077,-0.049917893224626586,0.023203019628615817,0.651471218084235,0.002291449990618925,107.434342,0.014,1.04,2.2800000000000002,3.266331658291466,0.0287036827828775
1972-02-01,105.2,3.07,5.77333,1972.1249999999081,6.08,804.1279128329302,23.46647046004843,127210.09995546952,44.13018824140437,6981.234661367972,17.46414760548617,20.41889860546093,0.028599563798766728,1.0058103589465617,11.975174925052459,-0.03043343938557319,-0.047372210081731425,0.016938770696158234,0.6542464664026492,0.002348862194295464,108.014901,0.012,0.9600000000000009,2.1500000000000004,3.50877192982455,0.029367609258314
1972-03-01,107.7,3.07,5.81,1972.2083333332414,6.07,821.2489202898553,23.409788164251214,130227.19274494766,44.30321473429952,7025.25524464388,17.805643849614935,20.819715240429737,0.02785100607608848,0.9961818649725259,12.015661378728367,-0.03528745392346222,-0.0436055402341734,0.008318086310711181,0.6452706039540292,0.0026056473214347664,105.253301,0.012,1.0,2.17,3.499999999999992,0.0281983965278447
1972-04-01,108.8,3.07,5.86333,1972.2916666665747,6.19,827.6376674698796,23.35337903614458,131548.86960362468,44.60213938240965,7089.287073649089,17.91516167849829,20.948428276212134,0.026214335260434166,1.0096085045152758,11.940941108221567,-0.03152261656512634,-0.04236461797063473,0.010842001405508395,0.6500061043328877,0.0027149483958740263,106.498483,0.014,0.9400000000000004,2.05,3.4912718204488824,0.0297712935375396
1972-05-01,107.7,3.07,5.91667,1972.374999999908,6.13,817.3006081730771,23.297241105769235,130214.42737376898,44.89970277956732,7153.535710395151,17.662646200372553,20.654075196229314,0.027860827719040644,1.0065930534275818,12.02669570512565,-0.030896914942138087,-0.0415774270225443,0.010680512080406213,0.6546543367962537,0.002650405146761065,107.773551,0.014,0.9300000000000006,2.1000000000000005,3.2258064516129226,0.0300415078679012
1972-06-01,108.0,3.07,5.97,1972.4583333332412,6.11,817.6117985611513,23.24137242206235,130572.57994175116,45.19576330935252,7217.762057891243,17.64085731574025,20.629105958815583,0.02837869672445418,1.0050916666666667,12.076957205338593,-0.03759134406467557,-0.045548115657706,0.007956771593030432,0.6581291018893499,0.002706050473170451,109.25722999999999,0.013,0.9699999999999989,2.089999999999999,2.7093596059113434,0.030026044039437
1972-07-01,107.2,3.07333,6.02667,1972.5416666665744,6.11,807.6816420047735,23.155524447971366,129294.89561522788,45.40700299832937,7268.821535050611,17.398690031138166,20.346611167293183,0.029320452728723537,0.9977012245741972,12.080508954865152,-0.03690416672143326,-0.0431811122579292,0.006276945536495937,0.6433007466781435,0.002779175958746577,104.315229,0.016,1.0200000000000005,2.12,2.9484029484029284,0.0314216443463547
1972-08-01,111.0,3.07667,6.08333,1972.6249999999077,6.21,834.3209285714287,23.125497038809527,133867.84983087532,45.72477058023811,7336.597359564495,17.943404688029798,20.98264090074066,0.0268219065251014,0.9804255134616761,12.02404158113483,-0.03968234265175996,-0.037247063348183396,-0.002435279303576565,0.6335950352849571,0.0025682457623998605,101.934577,0.012,0.9999999999999991,1.9799999999999995,2.941176470588247,0.0308340918656135
1972-09-01,109.4,3.08,6.14,1972.708333333241,6.55,820.3414869358672,23.095537292161527,131933.63973038943,46.04110356294537,7404.685081760429,17.613854552912116,20.596901878448616,0.02436989751616074,1.010569702584494,11.760675532657569,-0.02743704158225746,-0.030410703049408183,0.0029736614671507233,0.5683306132895027,0.0021420311863362533,81.668699,0.017,0.8700000000000001,1.54,3.1862745098039325,0.0339459955644675
1972-10-01,109.6,3.10333,6.23333,1972.7916666665742,6.48,817.955423167849,23.160452585579204,131860.29810634212,46.519945966193866,7499.349926963553,17.53318385415855,20.50238793845754,0.02582085013722478,1.0201347118183646,11.828788605134843,-0.019371423442052227,-0.022282554803891186,0.002911131361838959,0.5729242317259792,0.0021473865997714585,83.02721399999999,0.018,0.8500000000000005,1.58,3.4229828850855792,0.0328765079966629
